X,Y,Name,Region Name,Planning Area Name,Region Code,Central Area Indicator,Subzone Code,Planning Area Code
103.7783682,1.428329974,WOODGROVE,NORTH REGION,WOODLANDS,NR,N,WDSZ05,WD
103.8308698,1.432505882,YISHUN WEST,NORTH REGION,YISHUN,NR,N,YSSZ09,YS
103.785,1.439000913,WOODLANDS REGIONAL CENTRE,NORTH REGION,WOODLANDS,NR,N,WDSZ01,WD
103.7474461,1.431020727,RESERVOIR VIEW,NORTH REGION,SUNGEI KADUT,NR,N,SKSZ05,SK
103.803291,1.441268989,WOODLANDS EAST,NORTH REGION,WOODLANDS,NR,N,WDSZ03,WD
103.7851093,1.446629406,GREENWOOD PARK,NORTH REGION,WOODLANDS,NR,N,WDSZ07,WD
103.8522824,1.454542249,TANJONG IRAU,NORTH REGION,SIMPANG,NR,N,SMSZ02,SM
103.8644865,1.443988381,PULAU SELETAR,NORTH REGION,SIMPANG,NR,N,SMSZ04,SM
103.8460299,1.447905164,SIMPANG NORTH,NORTH REGION,SIMPANG,NR,N,SMSZ01,SM
103.8125668,1.42883529,MANDAI EAST,NORTH REGION,MANDAI,NR,N,MDSZ02,MD
103.8554595,1.43417781,SIMPANG SOUTH,NORTH REGION,SIMPANG,NR,N,SMSZ03,SM
103.901475,1.408697994,PUNGGOL TOWN CENTRE,NORTH-EAST REGION,PUNGGOL,NER,N,PGSZ02,PG
103.883585,1.409898943,SELETAR,NORTH-EAST REGION,SELETAR,NER,N,SLSZ04,SL
103.7483145,1.412434991,PANG SUA,NORTH REGION,SUNGEI KADUT,NR,N,SKSZ04,SK
103.9216849,1.408723939,CONEY ISLAND,NORTH-EAST REGION,PUNGGOL,NER,N,PGSZ07,PG
103.8297496,1.464585602,THE WHARVES,NORTH REGION,SEMBAWANG,NR,N,SBSZ07,SB
103.801629,1.462808788,SENOKO NORTH,NORTH REGION,SEMBAWANG,NR,N,SBSZ08,SB
